iter	Passed	Remaining
330	16660	33674
331	16722	33645
332	16778	33606
333	16831	33562
334	16888	33524
335	16934	33465
336	16991	33428
337	17060	33413
338	17116	33374
339	17163	33316
340	17204	33248
341	17247	33183
342	17308	33152
343	17354	33095
344	17394	33025
345	17439	32963
346	17488	32910
347	17535	32853
348	17591	32813
349	17640	32760
350	17697	32721
351	17738	32655
352	17774	32578
353	17811	32502
354	17845	32423
355	17882	32349
356	17928	32291
357	18000	32280
358	18071	32266
359	18111	32197
360	18155	32136
361	18204	32084
362	18247	32020
363	18288	31954
364	18341	31910
365	18407	31886
366	18545	31987
367	18673	32070
368	18737	32041
369	18826	32055
370	18874	32000
371	18921	31942
372	18953	31860
373	18991	31787
374	19028	31714
375	19067	31643
376	19120	31597
377	19195	31586
378	19273	31579
379	19345	31563
380	19405	31528
381	19449	31465
382	19480	31381
383	19519	31313
384	19553	31234
385	19591	31163
386	19634	31100
387	19687	31052
388	19754	31028
389	19853	31052
390	19899	30994
391	19936	30922
392	19986	30869
393	20030	30808
394	20072	30743
395	20119	30686
396	20156	30614
397	20190	30538
398	20238	30484
